horario,tensao_p1(V),tensao_p2(V),tensao_p3(V),tensao_p4(V),corrente_p1p2(A),corrente_p3p4(A),irradiacao(W/m2)
2022-08-09 09:54:55.845108,0.0,0.0,0.0,0.0,-25.0,-25.0,0.0
2022-08-09 09:54:55.945128,0.0,0.0,0.0,0.0,-25.0,-25.0,0.0
2022-08-09 09:54:56.045229,0.0,0.0,0.0,0.0,-25.0,-25.0,0.0
2022-08-09 09:54:56.145060,0.0,0.0,0.0,0.0,-25.0,-25.0,0.0
2022-08-09 09:54:56.245096,0.0,0.0,0.0,0.0,-25.0,-25.0,0.0
2022-08-09 09:54:56.345049,0.0,0.0,0.0,0.0,-25.0,-25.0,0.0
2022-08-09 09:54:56.445122,0.0,0.0,0.0,0.0,-25.0,-25.0,0.0
2022-08-09 09:54:56.545066,0.0,0.0,0.0,0.0,-25.0,-25.0,0.0
2022-08-09 09:54:56.645016,0.0,0.0,0.0,0.0,-25.0,-25.0,0.0
2022-08-09 09:54:56.745021,0.0,0.0,0.0,0.0,-25.0,-25.0,0.0
2022-08-09 09:54:57.041425,0.0,0.0,0.0,0.0,-25.0,-25.0,0.0
2022-08-09 09:54:57.065213,0.0,0.0,0.0,0.0,-25.0,-25.0,0.0
2022-08-09 09:54:57.145170,0.0,0.0,0.0,0.0,-25.0,-25.0,0.0
2022-08-09 09:54:57.245227,0.0,0.0,0.0,0.0,-25.0,-25.0,0.0
2022-08-09 09:54:57.345019,0.0,0.0,0.0,0.0,-25.0,-25.0,0.0
2022-08-09 09:54:57.445030,0.0,0.0,0.0,0.0,-25.0,-25.0,0.0
2022-08-09 09:54:57.545016,0.0,0.0,0.0,0.0,-25.0,-25.0,0.0
2022-08-09 09:54:57.645103,0.0,0.0,0.0,0.0,-25.0,-25.0,0.0
2022-08-09 09:54:57.745162,0.0,0.0,0.0,0.0,-25.0,-25.0,0.0
2022-08-09 09:54:57.971415,0.0,0.0,0.0,0.0,-25.0,-25.0,0.0
2022-08-09 09:54:58.045073,0.0,0.0,0.0,0.0,-25.0,-25.0,0.0
2022-08-09 09:54:58.145080,0.0,0.0,0.0,0.0,-25.0,-25.0,0.0
2022-08-09 09:54:58.245190,0.0,0.0,0.0,0.0,-25.0,-25.0,0.0
2022-08-09 09:54:58.345233,0.0,0.0,0.0,0.0,-25.0,-25.0,0.0
2022-08-09 09:54:58.445143,0.0,0.0,0.0,0.0,-25.0,-25.0,0.0
2022-08-09 09:54:58.545051,0.0,0.0,0.0,0.0,-25.0,-25.0,0.0
2022-08-09 09:54:58.644992,0.0,0.0,0.0,0.0,-25.0,-25.0,0.0
2022-08-09 09:54:58.745058,0.0,0.0,0.0,0.0,-25.0,-25.0,0.0
2022-08-09 09:54:58.971443,0.0,0.0,0.0,0.0,-25.0,-25.0,0.0
2022-08-09 09:54:59.045166,0.0,0.0,0.0,0.0,-25.0,-25.0,0.0
