horario,tensao_p1(V),tensao_p2(V),corrente(A),radiacao(W/m2)
2022-08-09 11:21:20.144844,0.0,0.0,-25.0,0.0
2022-08-09 11:21:20.244899,0.0,0.0,-25.0,0.0
2022-08-09 11:21:20.345197,0.0,0.0,-25.0,0.0
2022-08-09 11:21:20.444803,0.0,0.0,-25.0,0.0
2022-08-09 11:21:20.544806,0.0,0.0,-25.0,0.0
2022-08-09 11:21:20.644799,0.0,0.0,-25.0,0.0
2022-08-09 11:21:20.744798,0.0,0.0,-25.0,0.0
2022-08-09 11:21:20.844798,0.0,0.0,-25.0,0.0
2022-08-09 11:21:20.944798,0.0,0.0,-25.0,0.0
2022-08-09 11:21:21.044920,0.0,0.0,-25.0,0.0
2022-08-09 11:21:21.311842,0.0,0.0,-25.0,0.0
2022-08-09 11:21:21.345247,0.0,0.0,-25.0,0.0
2022-08-09 11:21:21.444931,0.0,0.0,-25.0,0.0
2022-08-09 11:21:21.545348,0.0,0.0,-25.0,0.0
2022-08-09 11:21:21.644877,0.0,0.0,-25.0,0.0
2022-08-09 11:21:21.744856,0.0,0.0,-25.0,0.0
2022-08-09 11:21:21.844853,0.0,0.0,-25.0,0.0
2022-08-09 11:21:21.944881,0.0,0.0,-25.0,0.0
2022-08-09 11:21:22.044847,0.0,0.0,-25.0,0.0
2022-08-09 11:21:22.261542,0.0,0.0,-25.0,0.0
2022-08-09 11:21:22.344931,0.0,0.0,-25.0,0.0
2022-08-09 11:21:22.444903,0.0,0.0,-25.0,0.0
2022-08-09 11:21:22.544813,0.0,0.0,-25.0,0.0
2022-08-09 11:21:22.644805,0.0,0.0,-25.0,0.0
2022-08-09 11:21:22.744795,0.0,0.0,-25.0,0.0
2022-08-09 11:21:22.844814,0.0,0.0,-25.0,0.0
2022-08-09 11:21:22.944794,0.0,0.0,-25.0,0.0
2022-08-09 11:21:23.044798,0.0,0.0,-25.0,0.0
2022-08-09 11:21:23.271405,0.0,0.0,-25.0,0.0
2022-08-09 11:21:23.344847,0.0,0.0,-25.0,0.0
2022-08-09 11:21:23.444875,0.0,0.0,-25.0,0.0
2022-08-09 11:21:23.544860,0.0,0.0,-25.0,0.0
2022-08-09 11:21:23.644934,0.0,0.0,-25.0,0.0
2022-08-09 11:21:23.744863,0.0,0.0,-25.0,0.0
2022-08-09 11:21:23.844859,0.0,0.0,-25.0,0.0
2022-08-09 11:21:23.944862,0.0,0.0,-25.0,0.0
2022-08-09 11:21:24.044861,0.0,0.0,-25.0,0.0
2022-08-09 11:21:24.271422,0.0,0.0,-25.0,0.0
2022-08-09 11:21:24.344993,0.0,0.0,-25.0,0.0
2022-08-09 11:21:24.444850,0.0,0.0,-25.0,0.0
2022-08-09 11:21:24.544824,0.0,0.0,-25.0,0.0
2022-08-09 11:21:24.644830,0.0,0.0,-25.0,0.0
2022-08-09 11:21:24.744809,0.0,0.0,-25.0,0.0
2022-08-09 11:21:24.844811,0.0,0.0,-25.0,0.0
2022-08-09 11:21:24.944814,0.0,0.0,-25.0,0.0
2022-08-09 11:21:25.044805,0.0,0.0,-25.0,0.0
2022-08-09 11:21:25.271536,0.0,0.0,-25.0,0.0
2022-08-09 11:21:25.344916,0.0,0.0,-25.0,0.0
2022-08-09 11:21:25.444928,0.0,0.0,-25.0,0.0
2022-08-09 11:21:25.544807,0.0,0.0,-25.0,0.0
2022-08-09 11:21:25.644806,0.0,0.0,-25.0,0.0
2022-08-09 11:21:25.744806,0.0,0.0,-25.0,0.0
2022-08-09 11:21:25.844801,0.0,0.0,-25.0,0.0
2022-08-09 11:21:25.944798,0.0,0.0,-25.0,0.0
2022-08-09 11:21:26.044808,0.0,0.0,-25.0,0.0
2022-08-09 11:21:26.281561,0.0,0.0,-25.0,0.0
2022-08-09 11:21:26.344865,0.0,0.0,-25.0,0.0
2022-08-09 11:21:26.448000,0.0,0.0,-25.0,0.0
2022-08-09 11:21:26.544802,0.0,0.0,-25.0,0.0
2022-08-09 11:21:26.645153,0.0,0.0,-25.0,0.0
2022-08-09 11:21:26.744808,0.0,0.0,-25.0,0.0
2022-08-09 11:21:26.844851,0.0,0.0,-25.0,0.0
2022-08-09 11:21:26.944819,0.0,0.0,-25.0,0.0
2022-08-09 11:21:27.044807,0.0,0.0,-25.0,0.0
2022-08-09 11:21:27.281448,0.0,0.0,-25.0,0.0
2022-08-09 11:21:27.344859,0.0,0.0,-25.0,0.0
2022-08-09 11:21:27.444844,0.0,0.0,-25.0,0.0
2022-08-09 11:21:27.544868,0.0,0.0,-25.0,0.0
2022-08-09 11:21:27.644894,0.0,0.0,-25.0,0.0
2022-08-09 11:21:27.744811,0.0,0.0,-25.0,0.0
2022-08-09 11:21:27.844822,0.0,0.0,-25.0,0.0
2022-08-09 11:21:27.944803,0.0,0.0,-25.0,0.0
2022-08-09 11:21:28.044799,0.0,0.0,-25.0,0.0
2022-08-09 11:21:28.271377,0.0,0.0,-25.0,0.0
2022-08-09 11:21:28.344832,0.0,0.0,-25.0,0.0
2022-08-09 11:21:28.444845,0.0,0.0,-25.0,0.0
2022-08-09 11:21:28.544867,0.0,0.0,-25.0,0.0
2022-08-09 11:21:28.644819,0.0,0.0,-25.0,0.0
2022-08-09 11:21:28.744804,0.0,0.0,-25.0,0.0
2022-08-09 11:21:28.844912,0.0,0.0,-25.0,0.0
2022-08-09 11:21:28.944790,0.0,0.0,-25.0,0.0
2022-08-09 11:21:29.044803,0.0,0.0,-25.0,0.0
2022-08-09 11:21:29.271356,0.0,0.0,-25.0,0.0
2022-08-09 11:21:29.345031,0.0,0.0,-25.0,0.0
2022-08-09 11:21:29.444855,0.0,0.0,-25.0,0.0
2022-08-09 11:21:29.544879,0.0,0.0,-25.0,0.0
2022-08-09 11:21:29.644865,0.0,0.0,-25.0,0.0
2022-08-09 11:21:29.744873,0.0,0.0,-25.0,0.0
2022-08-09 11:21:29.844847,0.0,0.0,-25.0,0.0
2022-08-09 11:21:29.944833,0.0,0.0,-25.0,0.0
2022-08-09 11:21:30.044892,0.0,0.0,-25.0,0.0
2022-08-09 11:21:30.351419,0.0,0.0,-25.0,0.0
2022-08-09 11:21:30.444834,0.0,0.0,-25.0,0.0
2022-08-09 11:21:30.544949,0.0,0.0,-25.0,0.0
2022-08-09 11:21:30.644797,0.0,0.0,-25.0,0.0
2022-08-09 11:21:30.744798,0.0,0.0,-25.0,0.0
2022-08-09 11:21:30.844845,0.0,0.0,-25.0,0.0
2022-08-09 11:21:30.944874,0.0,0.0,-25.0,0.0
2022-08-09 11:21:31.044866,0.0,0.0,-25.0,0.0
2022-08-09 11:21:31.281383,0.0,0.0,-25.0,0.0
2022-08-09 11:21:31.344803,0.0,0.0,-25.0,0.0
2022-08-09 11:21:31.444802,0.0,0.0,-25.0,0.0
2022-08-09 11:21:31.544801,0.0,0.0,-25.0,0.0
2022-08-09 11:21:31.644807,0.0,0.0,-25.0,0.0
2022-08-09 11:21:31.744796,0.0,0.0,-25.0,0.0
2022-08-09 11:21:31.844833,0.0,0.0,-25.0,0.0
2022-08-09 11:21:31.944859,0.0,0.0,-25.0,0.0
2022-08-09 11:21:32.044868,0.0,0.0,-25.0,0.0
2022-08-09 11:21:32.291603,0.0,0.0,-25.0,0.0
2022-08-09 11:21:32.344941,0.0,0.0,-25.0,0.0
2022-08-09 11:21:32.444871,0.0,0.0,-25.0,0.0
2022-08-09 11:21:32.544880,0.0,0.0,-25.0,0.0
2022-08-09 11:21:32.644871,0.0,0.0,-25.0,0.0
2022-08-09 11:21:32.744882,0.0,0.0,-25.0,0.0
