horario,tensao_p1(V),tensao_p2(V),corrente(A),radiacao(W/m2)
2022-08-11 11:08:38.324534,0.0,0.0,-25.0,0.0
2022-08-11 11:08:38.424629,0.0,0.0,-25.0,0.0
2022-08-11 11:08:38.524842,0.0,0.0,-25.0,0.0
2022-08-11 11:08:38.624794,0.0,0.0,-25.0,0.0
2022-08-11 11:08:38.724680,0.0,0.0,-25.0,0.0
2022-08-11 11:08:38.824649,0.0,0.0,-25.0,0.0
2022-08-11 11:08:38.924656,0.0,0.0,-25.0,0.0
2022-08-11 11:08:39.024717,0.0,0.0,-25.0,0.0
2022-08-11 11:08:39.124652,0.0,0.0,-25.0,0.0
2022-08-11 11:08:39.224636,0.0,0.0,-25.0,0.0
2022-08-11 11:08:39.523763,0.0,0.0,-25.0,0.0
2022-08-11 11:08:39.540435,0.0,0.0,-25.0,0.0
2022-08-11 11:08:39.624607,0.0,0.0,-25.0,0.0
2022-08-11 11:08:39.724824,0.0,0.0,-25.0,0.0
2022-08-11 11:08:39.824591,0.0,0.0,-25.0,0.0
2022-08-11 11:08:39.924601,0.0,0.0,-25.0,0.0
2022-08-11 11:08:40.024582,0.0,0.0,-25.0,0.0
2022-08-11 11:08:40.124568,0.0,0.0,-25.0,0.0
2022-08-11 11:08:40.224748,0.0,0.0,-25.0,0.0
2022-08-11 11:08:40.483862,0.0,0.0,-25.0,0.0
2022-08-11 11:08:40.524574,0.0,0.0,-25.0,0.0
2022-08-11 11:08:40.624758,0.0,0.0,-25.0,0.0
2022-08-11 11:08:40.724722,0.0,0.0,-25.0,0.0
2022-08-11 11:08:40.824570,0.0,0.0,-25.0,0.0
2022-08-11 11:08:40.924658,0.0,0.0,-25.0,0.0
2022-08-11 11:08:41.024672,0.0,0.0,-25.0,0.0
2022-08-11 11:08:41.124570,0.0,0.0,-25.0,0.0
2022-08-11 11:08:41.224895,0.0,0.0,-25.0,0.0
2022-08-11 11:08:41.473736,0.0,0.0,-25.0,0.0
2022-08-11 11:08:41.524905,0.0,0.0,-25.0,0.0
2022-08-11 11:08:41.624583,0.0,0.0,-25.0,0.0
2022-08-11 11:08:41.724640,0.0,0.0,-25.0,0.0
2022-08-11 11:08:41.824605,0.0,0.0,-25.0,0.0
2022-08-11 11:08:41.924637,0.0,0.0,-25.0,0.0
2022-08-11 11:08:42.024548,0.0,0.0,-25.0,0.0
2022-08-11 11:08:42.124545,0.0,0.0,-25.0,0.0
2022-08-11 11:08:42.224794,0.0,0.0,-25.0,0.0
2022-08-11 11:08:42.484067,0.0,0.0,-25.0,0.0
2022-08-11 11:08:42.524663,0.0,0.0,-25.0,0.0
2022-08-11 11:08:42.624745,0.0,0.0,-25.0,0.0
2022-08-11 11:08:42.724762,0.0,0.0,-25.0,0.0
2022-08-11 11:08:42.824580,0.0,0.0,-25.0,0.0
2022-08-11 11:08:42.924844,0.0,0.0,-25.0,0.0
2022-08-11 11:08:43.024788,0.0,0.0,-25.0,0.0
2022-08-11 11:08:43.124740,0.0,0.0,-25.0,0.0
2022-08-11 11:08:43.224746,0.0,0.0,-25.0,0.0
2022-08-11 11:08:43.473939,0.0,0.0,-25.0,0.0
2022-08-11 11:08:43.524799,0.0,0.0,-25.0,0.0
2022-08-11 11:08:43.624835,0.0,0.0,-25.0,0.0
2022-08-11 11:08:43.724827,0.0,0.0,-25.0,0.0
2022-08-11 11:08:43.824653,0.0,0.0,-25.0,0.0
2022-08-11 11:08:43.924545,0.0,0.0,-25.0,0.0
2022-08-11 11:08:44.024631,0.0,0.0,-25.0,0.0
2022-08-11 11:08:44.124727,0.0,0.0,-25.0,0.0
2022-08-11 11:08:44.224754,0.0,0.0,-25.0,0.0
2022-08-11 11:08:44.453770,0.0,0.0,-25.0,0.0
2022-08-11 11:08:44.524700,0.0,0.0,-25.0,0.0
2022-08-11 11:08:44.624576,0.0,0.0,-25.0,0.0
2022-08-11 11:08:44.724747,0.0,0.0,-25.0,0.0
2022-08-11 11:08:44.824627,0.0,0.0,-25.0,0.0
2022-08-11 11:08:44.924641,0.0,0.0,-25.0,0.0
2022-08-11 11:08:45.024591,0.0,0.0,-25.0,0.0
2022-08-11 11:08:45.124794,0.0,0.0,-25.0,0.0
2022-08-11 11:08:45.224687,0.0,0.0,-25.0,0.0
2022-08-11 11:08:45.474085,0.0,0.0,-25.0,0.0
2022-08-11 11:08:45.524707,0.0,0.0,-25.0,0.0
2022-08-11 11:08:45.624682,0.0,0.0,-25.0,0.0
2022-08-11 11:08:45.724565,0.0,0.0,-25.0,0.0
2022-08-11 11:08:45.824720,0.0,0.0,-25.0,0.0
2022-08-11 11:08:45.924584,0.0,0.0,-25.0,0.0
2022-08-11 11:08:46.025047,0.0,0.0,-25.0,0.0
2022-08-11 11:08:46.124711,0.0,0.0,-25.0,0.0
2022-08-11 11:08:46.224946,0.0,0.0,-25.0,0.0
2022-08-11 11:08:46.463878,0.0,0.0,-25.0,0.0
2022-08-11 11:08:46.524657,0.0,0.0,-25.0,0.0
2022-08-11 11:08:46.624601,0.0,0.0,-25.0,0.0
2022-08-11 11:08:46.724574,0.0,0.0,-25.0,0.0
2022-08-11 11:08:46.824720,0.0,0.0,-25.0,0.0
2022-08-11 11:08:46.924658,0.0,0.0,-25.0,0.0
2022-08-11 11:08:47.024685,0.0,0.0,-25.0,0.0
2022-08-11 11:08:47.124569,0.0,0.0,-25.0,0.0
2022-08-11 11:08:47.224701,0.0,0.0,-25.0,0.0
2022-08-11 11:08:47.473930,0.0,0.0,-25.0,0.0
2022-08-11 11:08:47.524643,0.0,0.0,-25.0,0.0
2022-08-11 11:08:47.624562,0.0,0.0,-25.0,0.0
2022-08-11 11:08:47.724793,0.0,0.0,-25.0,0.0
2022-08-11 11:08:47.824638,0.0,0.0,-25.0,0.0
2022-08-11 11:08:47.924681,0.0,0.0,-25.0,0.0
2022-08-11 11:08:48.024564,0.0,0.0,-25.0,0.0
2022-08-11 11:08:48.124825,0.0,0.0,-25.0,0.0
2022-08-11 11:08:48.224640,0.0,0.0,-25.0,0.0
2022-08-11 11:08:48.443971,0.0,0.0,-25.0,0.0
2022-08-11 11:08:48.524701,0.0,0.0,-25.0,0.0
2022-08-11 11:08:48.624665,0.0,0.0,-25.0,0.0
2022-08-11 11:08:48.724645,0.0,0.0,-25.0,0.0
2022-08-11 11:08:48.824653,0.0,0.0,-25.0,0.0
2022-08-11 11:12:08.989454,0.0,0.0,-25.0,0.0
2022-08-11 11:12:09.089569,0.0,0.0,-25.0,0.0
2022-08-11 11:12:09.189413,0.0,0.0,-25.0,0.0
2022-08-11 11:12:09.289436,0.0,0.0,-25.0,0.0
2022-08-11 11:12:09.389446,0.0,0.0,-25.0,0.0
2022-08-11 11:12:09.489445,0.0,0.0,-25.0,0.0
2022-08-11 11:12:09.589455,0.0,0.0,-25.0,0.0
2022-08-11 11:12:09.689436,0.0,0.0,-25.0,0.0
2022-08-11 11:12:09.789434,0.0,0.0,-25.0,0.0
2022-08-11 11:12:09.889448,0.0,0.0,-25.0,0.0
2022-08-11 11:12:10.173681,0.0,0.0,-25.0,0.0
2022-08-11 11:12:10.189323,0.0,0.0,-25.0,0.0
2022-08-11 11:12:10.289385,0.0,0.0,-25.0,0.0
2022-08-11 11:12:10.389386,0.0,0.0,-25.0,0.0
2022-08-11 11:12:10.489409,0.0,0.0,-25.0,0.0
2022-08-11 11:12:10.589392,0.0,0.0,-25.0,0.0
2022-08-11 11:12:10.689454,0.0,0.0,-25.0,0.0
2022-08-11 11:12:10.789448,0.0,0.0,-25.0,0.0
2022-08-11 11:12:10.889455,0.0,0.0,-25.0,0.0
2022-08-11 11:12:11.123814,0.0,0.0,-25.0,0.0
2022-08-11 11:12:11.189496,0.0,0.0,-25.0,0.0
2022-08-11 11:12:11.289406,0.0,0.0,-25.0,0.0
2022-08-11 11:12:11.389421,0.0,0.0,-25.0,0.0
2022-08-11 11:12:11.489409,0.0,0.0,-25.0,0.0
2022-08-11 11:12:11.589389,0.0,0.0,-25.0,0.0
2022-08-11 11:12:11.689393,0.0,0.0,-25.0,0.0
2022-08-11 11:12:11.789410,0.0,0.0,-25.0,0.0
2022-08-11 11:12:11.889395,0.0,0.0,-25.0,0.0
2022-08-11 11:12:12.143817,0.0,0.0,-25.0,0.0
2022-08-11 11:12:12.189452,0.0,0.0,-25.0,0.0
2022-08-11 11:12:12.289458,0.0,0.0,-25.0,0.0
2022-08-11 11:12:12.389430,0.0,0.0,-25.0,0.0
2022-08-11 11:12:12.489445,0.0,0.0,-25.0,0.0
2022-08-11 11:12:12.589444,0.0,0.0,-25.0,0.0
2022-08-11 11:12:12.689445,0.0,0.0,-25.0,0.0
2022-08-11 11:12:12.789445,0.0,0.0,-25.0,0.0
2022-08-11 11:12:12.889447,0.0,0.0,-25.0,0.0
2022-08-11 11:12:13.113794,0.0,0.0,-25.0,0.0
2022-08-11 11:12:13.189538,0.0,0.0,-25.0,0.0
2022-08-11 11:12:13.289402,0.0,0.0,-25.0,0.0
2022-08-11 11:12:13.389387,0.0,0.0,-25.0,0.0
2022-08-11 11:12:13.489424,0.0,0.0,-25.0,0.0
2022-08-11 11:12:13.589412,0.0,0.0,-25.0,0.0
2022-08-11 11:12:13.689397,0.0,0.0,-25.0,0.0
2022-08-11 11:12:13.789384,0.0,0.0,-25.0,0.0
2022-08-11 11:12:13.889391,0.0,0.0,-25.0,0.0
2022-08-11 11:12:14.103832,0.0,0.0,-25.0,0.0
2022-08-11 11:12:14.189470,0.0,0.0,-25.0,0.0
2022-08-11 11:12:14.289435,0.0,0.0,-25.0,0.0
2022-08-11 11:12:14.389425,0.0,0.0,-25.0,0.0
2022-08-11 11:12:14.489473,0.0,0.0,-25.0,0.0
2022-08-11 11:12:14.589676,0.0,0.0,-25.0,0.0
2022-08-11 11:12:14.689420,0.0,0.0,-25.0,0.0
2022-08-11 11:12:14.789481,0.0,0.0,-25.0,0.0
2022-08-11 11:12:14.889509,0.0,0.0,-25.0,0.0
2022-08-11 11:12:15.123894,0.0,0.0,-25.0,0.0
2022-08-11 11:12:15.189449,0.0,0.0,-25.0,0.0
2022-08-11 11:12:15.289494,0.0,0.0,-25.0,0.0
2022-08-11 11:12:15.389399,0.0,0.0,-25.0,0.0
2022-08-11 11:12:15.489393,0.0,0.0,-25.0,0.0
2022-08-11 11:12:15.589638,0.0,0.0,-25.0,0.0
2022-08-11 11:12:15.689422,0.0,0.0,-25.0,0.0
2022-08-11 11:12:15.789425,0.0,0.0,-25.0,0.0
2022-08-11 11:12:15.889390,0.0,0.0,-25.0,0.0
2022-08-11 11:12:16.113703,0.0,0.0,-25.0,0.0
2022-08-11 11:12:16.189392,0.0,0.0,-25.0,0.0
2022-08-11 11:12:16.289384,0.0,0.0,-25.0,0.0
2022-08-11 11:12:16.389378,0.0,0.0,-25.0,0.0
2022-08-11 11:12:16.489376,0.0,0.0,-25.0,0.0
2022-08-11 11:12:16.589435,0.0,0.0,-25.0,0.0
2022-08-11 11:12:16.689447,0.0,0.0,-25.0,0.0
2022-08-11 11:12:16.789452,0.0,0.0,-25.0,0.0
2022-08-11 11:12:16.889435,0.0,0.0,-25.0,0.0
2022-08-11 11:12:17.123788,0.0,0.0,-25.0,0.0
2022-08-11 11:12:17.189411,0.0,0.0,-25.0,0.0
2022-08-11 11:12:17.289448,0.0,0.0,-25.0,0.0
2022-08-11 11:12:17.389463,0.0,0.0,-25.0,0.0
2022-08-11 11:12:17.489391,0.0,0.0,-25.0,0.0
2022-08-11 11:12:17.589407,0.0,0.0,-25.0,0.0
2022-08-11 11:12:17.689379,0.0,0.0,-25.0,0.0
2022-08-11 11:12:17.789445,0.0,0.0,-25.0,0.0
2022-08-11 11:12:17.889368,0.0,0.0,-25.0,0.0
2022-08-11 11:12:18.143960,0.0,0.0,-25.0,0.0
2022-08-11 11:12:18.189393,0.0,0.0,-25.0,0.0
2022-08-11 11:12:18.289423,0.0,0.0,-25.0,0.0
2022-08-11 11:12:18.389387,0.0,0.0,-25.0,0.0
2022-08-11 11:12:18.489384,0.0,0.0,-25.0,0.0
2022-08-11 11:12:18.589382,0.0,0.0,-25.0,0.0
2022-08-11 11:12:18.689385,0.0,0.0,-25.0,0.0
2022-08-11 11:12:18.789385,0.0,0.0,-25.0,0.0
2022-08-11 11:12:18.889443,0.0,0.0,-25.0,0.0
2022-08-11 11:12:19.143813,0.0,0.0,-25.0,0.0
2022-08-11 11:12:19.189580,0.0,0.0,-25.0,0.0
2022-08-11 11:12:19.289443,0.0,0.0,-25.0,0.0
2022-08-11 11:12:19.389471,0.0,0.0,-25.0,0.0
2022-08-11 11:12:19.489473,0.0,0.0,-25.0,0.0
2022-08-11 11:12:19.589472,0.0,0.0,-25.0,0.0
2022-08-11 11:12:19.689448,0.0,0.0,-25.0,0.0
2022-08-11 11:12:19.789454,0.0,0.0,-25.0,0.0
2022-08-11 11:12:19.889497,0.0,0.0,-25.0,0.0
2022-08-11 11:12:20.143758,0.0,0.0,-25.0,0.0
2022-08-11 11:12:20.189451,0.0,0.0,-25.0,0.0
2022-08-11 11:12:20.289430,0.0,0.0,-25.0,0.0
2022-08-11 11:12:20.389438,0.0,0.0,-25.0,0.0
2022-08-11 11:12:20.489427,0.0,0.0,-25.0,0.0
2022-08-11 11:12:20.589429,0.0,0.0,-25.0,0.0
