horario,tensao_p1(V),tensao_p2(V),corrente(A),radiacao(W/m2)
2022-08-12 00:29:05.219996,0.0,0.0,-25.0,0.0
2022-08-12 00:29:05.320155,0.0,0.0,-25.0,0.0
2022-08-12 00:29:05.419994,0.0,0.0,-25.0,0.0
2022-08-12 00:29:05.519942,0.0,0.0,-25.0,0.0
2022-08-12 00:29:05.619986,0.0,0.0,-25.0,0.0
2022-08-12 00:29:05.719938,0.0,0.0,-25.0,0.0
2022-08-12 00:29:05.819949,0.0,0.0,-25.0,0.0
2022-08-12 00:29:05.919945,0.0,0.0,-25.0,0.0
2022-08-12 00:29:06.019941,0.0,0.0,-25.0,0.0
2022-08-12 00:29:06.120001,0.0,0.0,-25.0,0.0
2022-08-12 00:29:06.393255,0.0,0.0,-25.0,0.0
2022-08-12 00:29:06.420285,0.0,0.0,-25.0,0.0
2022-08-12 00:29:06.519993,0.0,0.0,-25.0,0.0
2022-08-12 00:29:06.620010,0.0,0.0,-25.0,0.0
2022-08-12 00:29:06.720019,0.0,0.0,-25.0,0.0
2022-08-12 00:29:06.820001,0.0,0.0,-25.0,0.0
2022-08-12 00:29:06.920001,0.0,0.0,-25.0,0.0
2022-08-12 00:29:07.020027,0.0,0.0,-25.0,0.0
2022-08-12 00:29:07.120023,0.0,0.0,-25.0,0.0
2022-08-12 00:29:07.342858,0.0,0.0,-25.0,0.0
2022-08-12 00:29:07.419999,0.0,0.0,-25.0,0.0
2022-08-12 00:29:07.519956,0.0,0.0,-25.0,0.0
2022-08-12 00:29:07.619955,0.0,0.0,-25.0,0.0
2022-08-12 00:29:07.719953,0.0,0.0,-25.0,0.0
2022-08-12 00:29:07.819944,0.0,0.0,-25.0,0.0
2022-08-12 00:29:07.919942,0.0,0.0,-25.0,0.0
2022-08-12 00:29:08.020023,0.0,0.0,-25.0,0.0
2022-08-12 00:29:08.121162,0.0,0.0,-25.0,0.0
2022-08-12 00:29:08.382985,0.0,0.0,-25.0,0.0
2022-08-12 00:29:08.420052,0.0,0.0,-25.0,0.0
2022-08-12 00:29:08.520187,0.0,0.0,-25.0,0.0
2022-08-12 00:29:08.619947,0.0,0.0,-25.0,0.0
2022-08-12 00:29:08.720020,0.0,0.0,-25.0,0.0
2022-08-12 00:29:08.820162,0.0,0.0,-25.0,0.0
2022-08-12 00:29:08.920170,0.0,0.0,-25.0,0.0
2022-08-12 00:29:09.020214,0.0,0.0,-25.0,0.0
2022-08-12 00:29:09.120464,0.0,0.0,-25.0,0.0
2022-08-12 00:29:09.372837,0.0,0.0,-25.0,0.0
2022-08-12 00:29:09.420000,0.0,0.0,-25.0,0.0
2022-08-12 00:29:09.520695,0.0,0.0,-25.0,0.0
2022-08-12 00:29:09.619944,0.0,0.0,-25.0,0.0
2022-08-12 00:29:09.720065,0.0,0.0,-25.0,0.0
2022-08-12 00:29:09.820172,0.0,0.0,-25.0,0.0
2022-08-12 00:29:09.919979,0.0,0.0,-25.0,0.0
2022-08-12 00:29:10.019931,0.0,0.0,-25.0,0.0
2022-08-12 00:29:10.119940,0.0,0.0,-25.0,0.0
2022-08-12 00:29:10.382916,0.0,0.0,-25.0,0.0
2022-08-12 00:29:10.420019,0.0,0.0,-25.0,0.0
2022-08-12 00:29:10.519951,0.0,0.0,-25.0,0.0
2022-08-12 00:29:10.620020,0.0,0.0,-25.0,0.0
2022-08-12 00:29:10.720032,0.0,0.0,-25.0,0.0
2022-08-12 00:29:10.820023,0.0,0.0,-25.0,0.0
2022-08-12 00:29:10.920015,0.0,0.0,-25.0,0.0
2022-08-12 00:29:11.020007,0.0,0.0,-25.0,0.0
2022-08-12 00:29:11.119994,0.0,0.0,-25.0,0.0
